id,code,name,adp_no_from,adp_no_to,scheme_count,page_from,page_to,is_program_pool
1,AGRICULTURE_SUPPLY_PRICES,"AGRICULTURE, SUPPLY & PRICES",1,31,31,1,7,false
2,AUQAF_RELIGIOUS_AFFAIRS,"AUQAF, RELIGIOUS AFFAIRS, ZAKAT & USHR",32,52,21,8,11,false
3,BOARD_OF_REVENUE,BOARD OF REVENUE,53,54,2,12,13,false
4,CULTURE_TOURISM,"CULTURE, TOURISM, ANTIQUITIES & ARCHIVES",55,94,40,14,21,false
5,EDUCATION,EDUCATION SECTOR,95,749,655,22,131,false
6,ENERGY,ENERGY,750,766,17,132,135,false
7,ENVIRONMENT,"ENVIRONMENT, CLIMATE CHANGE & COASTAL DEVELOPMENT",767,776,10,136,138,false
8,EXCISE_TAXATION,"EXCISE, TAXATION & NARCOTICS CONTROL",777,781,5,139,141,false
9,FINANCE,FINANCE,782,790,9,142,144,false
10,FOOD,FOOD,791,793,3,145,146,false
11,FOREST_WILDLIFE,FOREST & WILDLIFE,794,800,7,147,149,false
12,GOVERNORS_SECRETARIAT,GOVERNOR's SECRETARIAT,801,801,1,150,151,false
13,HEALTH,HEALTH,802,933,132,152,170,false
14,HOME,HOME,934,1013,80,171,182,false
15,HUMAN_RIGHTS,HUMAN RIGHTS,1014,1016,3,183,184,false
16,HUMAN_SETTLEMENT,"HUMAN SETTLEMENT, SPATIAL DEVELOPMENT & SOCIAL HOUSING",1017,1022,6,185,187,false
17,INDUSTRIES_COMMERCE,INDUSTRIES & COMMERCE,1023,1037,15,188,191,false
18,INFORMATION,INFORMATION,1038,1045,8,192,194,false
19,IRRIGATION,IRRIGATION,1046,1231,186,195,220,false
20,LABOUR_HUMAN_RESOURCES,LABOUR & HUMAN RESOURCES,1232,1234,3,221,222,false
21,LAW_PA_PROSECUTION,"LAW, P.A AND PROSECUTION",1235,1268,34,223,227,false
22,LIVESTOCK_FISHERIES,LIVESTOCK & FISHERIES,1269,1306,38,228,233,false
23,LOCAL_GOVERNMENT,"LOCAL GOVERNMENT, HOUSING & TOWN PLANNING",1307,2278,972,234,371,false
24,MATCHING_ALLOCATIONS,MATCHING ALLOCATIONS,2279,2292,14,372,376,true
25,MEGA_PROJECTS_KARACHI,MEGA PROJECTS FOR KARACHI CITY,2293,2317,25,377,381,true
26,MINES_MINERAL_DEV,MINES & MINERAL DEVELOPMENT,2318,2318,1,382,383,false
27,MINORITIES_AFFAIRS,MINORITIES AFFAIRS,2319,2373,55,384,392,false
28,PLANNING_DEVELOPMENT,PLANNING & DEVELOPMENT,2374,2396,23,393,397,false
29,POPULATION_WELFARE,POPULATION WELFARE,2397,2398,2,398,399,false
30,PROVINCIAL_ASSEMBLY,PROVINCIAL ASSEMBLY,2399,2399,1,400,401,false
31,PROVINCIAL_OMBUDSMAN,PROVINCIAL OMBUDSMAN,2400,2403,4,402,403,false
32,PUBLIC_HEALTH_ENGINEERING,PUBLIC HEALTH ENGINEERING & RURAL DEVELOPMENT,2404,3233,830,404,514,false
33,REHABILITATION_PDMA,REHABILITATION (PDMA),3234,3235,2,515,516,false
34,SCIENCE_IT,SCIENCE & INFORMATION TECHNOLOGY,3236,3238,3,517,518,false
35,SERVICES_GAD,"SERVICES, GENERAL ADMINISTRATION & COORDINATION",3239,3282,44,519,525,false
36,SINDH_PSC,SINDH PUBLIC SERVICE COMMISSION,3283,3283,1,526,527,false
37,SINDH_REVENUE_BOARD,SINDH REVENUE BOARD,3284,3284,1,528,529,false
38,SOCIAL_PROTECTION,SOCIAL PROTECTION,3285,3285,1,530,531,false
39,SOCIAL_WELFARE,SOCIAL WELFARE,3286,3303,18,532,535,false
40,SPORTS_YOUTH_AFFAIRS,SPORTS & YOUTH AFFAIRS,3304,3378,75,536,545,false
41,THAR_COAL_INFRASTRUCTURE,THAR COAL INFRASTRUCTURE DEVELOPMENT,3379,3384,6,546,548,false
42,TRAINING_MANAGEMENT_RESEARCH,"TRAINING, MANAGEMENT & RESEARCH",3385,3385,1,549,550,false
43,TRANSPORT_MASS_TRANSIT,TRANSPORT AND MASS TRANSIT,3386,3407,22,551,554,false
44,WOMEN_DEVELOPMENT,WOMEN DEVELOPMENT,3408,3413,6,555,557,false
45,WORKS_SERVICES,WORKS & SERVICES,3414,3710,297,558,605,false
46,ALLOC_DIVISIONAL_HQ,ALLOCATION FOR DIVISIONAL HEADQUARTERS,3711,3711,1,606,607,true
47,ALLOC_FAST_TRACK,ALLOCATION FOR ON-GOING FAST TRACK PROJECTS,3712,3712,1,608,609,true
48,ALLOC_SDGS,ALLOCATION FOR SUSTAINABLE DEVELOPMENT GOALS (SDGs),3713,3713,1,610,611,true
49,SOCIO_ECONOMIC_KACHA,SOCIO-ECONOMIC UPLIFT OF KACHA AREAS,3714,3714,1,612,613,true
50,SPECIAL_INIT_BACKWARD_DISTRICTS,SPECIAL INITIATIVES FOR BACKWARD DISTRICTS,3715,3715,1,614,615,true
