scheme_id,fiscal_year,revised_allocation_total,revised_allocation_fpa,estimated_expenditure,throw_forward,allocation_capital,allocation_revenue,allocation_total,allocation_fpa,financial_progress_pct_prior_year,financial_progress_pct_current_year
1,2026-2027,0.000,0.000,99.938,0.001,0.001,0.000,0.001,0.000,100.0,100.0
2,2026-2027,0.000,0.000,261.400,177.749,100.000,0.000,100.000,0.000,59.5,82.3
3,2026-2027,15.542,0.000,51.701,23.299,0.000,23.299,23.299,0.000,68.9,100.0
4,2026-2027,20.178,0.000,49.558,50.442,50.442,0.000,50.442,0.000,49.6,100.0
5,2026-2027,0.000,0.000,509.278,316.506,0.000,316.506,316.506,0.000,61.7,100.0
6,2026-2027,216.225,11788.140,266.225,2035.995,0.000,112.420,112.420,0.000,11.6,16.4
7,2026-2027,63.037,0.000,91.899,4.031,0.000,4.031,4.031,0.000,95.8,100.0
8,2026-2027,31.026,0.000,224.833,0.000,0.000,0.001,0.001,0.000,100.0,100.0
9,2026-2027,0.000,0.000,0.000,200.000,0.000,50.000,50.000,0.000,0.0,25.0
10,2026-2027,0.000,0.000,195.877,0.001,0.001,0.000,0.001,0.000,100.0,100.0
11,2026-2027,49.616,0.000,49.616,227.316,100.000,0.000,100.000,0.000,17.9,54.0
12,2026-2027,0.000,0.000,0.000,4504.830,1100.000,119.300,1219.300,0.000,0.0,27.1
13,2026-2027,57.633,0.000,136.935,163.065,0.000,163.065,163.065,0.000,45.6,100.0
14,2026-2027,12.500,0.000,62.500,137.500,0.000,56.306,56.306,0.000,31.3,59.4
15,2026-2027,158.000,0.000,1633.713,1222.087,0.000,392.687,392.687,0.000,57.2,71.0
16,2026-2027,0.000,0.000,3872.999,0.001,0.000,0.001,0.001,0.000,100.0,100.0
17,2026-2027,0.000,0.000,0.000,390.000,0.000,97.500,97.500,0.000,0.0,25.0
18,2026-2027,41.947,0.000,152.147,47.850,0.000,47.850,47.850,0.000,76.1,100.0
19,2026-2027,80.950,0.000,224.911,130.600,62.542,68.058,130.600,0.000,63.3,100.0
20,2026-2027,61.000,0.000,98.500,1.500,0.000,1.500,1.500,0.000,98.5,100.0
21,2026-2027,50.000,0.000,50.000,50.000,0.000,50.000,50.000,0.000,50.0,100.0
22,2026-2027,24.700,0.000,24.700,25.300,0.000,25.300,25.300,0.000,49.4,100.0
23,2026-2027,0.000,0.000,74.799,21.590,21.590,0.000,21.590,0.000,77.6,100.0
24,2026-2027,250.000,0.000,357.291,962.709,0.000,284.141,284.141,0.000,27.1,48.6
25,2026-2027,494.393,0.000,730.793,1269.207,0.000,416.822,416.822,0.000,36.5,57.4
26,2026-2027,315.060,0.000,524.765,474.521,0.000,75.000,75.000,0.000,52.5,60.0
27,2026-2027,300.000,0.000,487.320,488.930,0.000,488.930,488.930,0.000,49.9,100.0
28,2026-2027,510.000,0.000,510.000,510.000,0.000,510.000,510.000,0.000,50.0,100.0
29,2026-2027,0.000,0.000,0.000,350.000,0.000,87.500,87.500,0.000,0.0,25.0
30,2026-2027,69.280,0.000,69.280,30.680,0.000,30.680,30.680,0.000,69.3,100.0
31,2026-2027,43.750,0.000,56.250,43.750,0.000,43.750,43.750,0.000,56.3,100.0
32,2026-2027,0.000,0.000,128.335,22.264,0.100,0.000,0.100,0.000,85.2,85.3
33,2026-2027,0.000,0.000,79.202,65.385,20.000,0.000,20.000,0.000,54.8,68.6
34,2026-2027,0.000,0.000,92.650,3.476,3.476,0.000,3.476,0.000,96.4,100.0
35,2026-2027,0.000,0.000,94.661,0.908,0.908,0.000,0.908,0.000,99.0,100.0
36,2026-2027,33.812,0.000,93.870,0.179,0.179,0.000,0.179,0.000,99.8,100.0
37,2026-2027,25.491,0.000,73.756,0.005,0.005,0.000,0.005,0.000,100.0,100.0
