scheme_id,revised_on,capital_at_revision,revenue_at_revision,total_cost_at_revision
33,13-05-2026,144.59,0.00,144.59
39,05-05-2026,17.74,0.00,17.74
40,04-05-2026,31.35,0.00,31.35
42,05-05-2026,26.10,0.00,26.10
56,26-06-2023,495.33,94.68,590.00
57,22-05-2023,189.35,0.00,189.35
58,02-06-2023,726.66,17.85,744.50
59,30-05-2023,172.90,26.10,199.00
60,22-05-2023,180.17,13.83,194.00
61,03-06-2023,761.40,8.19,769.59
62,03-06-2023,541.28,0.00,541.28
64,03-04-2024,142.90,8.10,151.00
66,12-02-2025,198.76,0.00,198.76
67,12-02-2025,198.03,0.00,198.03
68,03-04-2024,182.02,13.89,195.92
70,03-04-2024,92.82,91.45,184.27
71,03-04-2024,184.87,12.50,197.37
72,18-01-2022,173.99,12.77,186.76
73,30-05-2023,175.38,17.62,193.00
74,26-06-2023,377.50,74.50,452.00
75,23-05-2023,160.87,29.13,190.00
76,16-05-2023,178.23,18.05,196.27
78,27-03-2024,176.94,14.69,191.63
79,03-04-2024,186.19,13.45,199.63
80,03-04-2024,176.80,19.22,196.02
81,12-02-2025,184.91,13.81,198.72
82,03-04-2024,184.26,12.95,197.22
83,26-03-2024,182.85,14.69,197.54
85,11-02-2025,183.77,14.54,198.31
86,03-04-2024,184.13,15.71,199.84
89,12-01-2018,2814.00,232.00,3046.00
90,15-02-2023,1334.94,112.38,1447.31
91,26-06-2023,425.70,26.32,452.01
92,06-09-2023,185.24,13.04,198.27
93,03-04-2024,170.18,12.50,182.68
200,03-03-2025,541.45,129.62,671.07
202,14-05-2025,185.99,12.50,198.49
207,14-05-2025,186.60,9.34,195.94
208,14-05-2025,143.63,7.16,150.79
210,14-05-2025,181.42,16.67,198.09
211,14-05-2025,182.74,15.57,198.30
224,14-05-2025,154.12,10.24,164.36
271,13-05-2026,123.41,0.00,123.41
272,22-05-2026,125.10,0.00,125.10
273,13-05-2026,76.87,0.00,76.87
287,22-05-2026,70.23,6.58,76.81
303,13-05-2026,95.56,0.00,95.56
306,22-05-2026,81.27,0.00,81.27
308,13-05-2026,82.92,0.00,82.92
334,21-01-2026,54.92,0.00,54.92
381,13-03-2026,79.42,0.00,79.42
385,13-05-2026,92.16,0.00,92.16
393,26-07-2025,474.07,22.60,496.68
415,09-04-2026,184.09,4.80,188.89
416,22-05-2026,56.04,2.61,58.65
424,22-05-2026,125.13,0.00,125.13
426,13-05-2026,49.05,0.00,49.05
501,22-05-2026,102.90,0.00,102.90
503,13-05-2026,156.13,0.00,156.13
504,08-04-2026,121.22,1.07,122.29
506,13-05-2026,140.65,0.00,140.65
507,13-05-2026,74.70,0.00,74.70
523,25-01-2026,163.66,0.00,163.66
575,13-05-2026,55.40,0.00,55.40
576,19-01-2026,168.94,20.91,189.86
577,21-01-2026,170.37,20.91,191.28
595,22-05-2026,145.48,0.00,145.48
634,22-05-2026,118.33,0.00,118.33
651,22-05-2026,165.28,9.10,174.38
652,22-05-2026,163.03,11.19,174.22
669,02-09-2025,154.68,14.08,168.76
670,20-05-2026,218.70,35.08,253.77
674,02-09-2025,186.82,12.26,199.08
679,02-09-2025,86.78,19.40,106.18
681,02-09-2025,110.10,64.03,174.13
683,01-09-2025,101.01,25.00,126.01
684,12-10-2025,50.60,4.64,55.24
685,11-10-2025,45.07,3.08,48.15
686,12-10-2025,37.56,0.00,37.56
687,12-10-2025,53.73,0.00,53.73
688,21-01-2025,53.38,13.89,67.28
689,12-10-2025,82.79,97.74,180.53
690,12-10-2025,57.08,15.11,72.19
691,09-10-2025,55.35,13.67,69.02
692,12-10-2025,39.35,4.58,43.93
693,12-10-2025,99.59,52.35,151.94
694,12-10-2025,54.88,47.35,102.23
696,11-10-2025,40.10,4.34,44.44
697,12-10-2025,92.27,0.00,92.27
698,11-10-2025,68.69,0.00,68.69
699,12-10-2025,51.33,0.00,51.33
700,11-10-2025,54.46,15.25,69.71
701,12-10-2025,126.05,0.00,126.05
703,02-09-2025,193.43,0.00,193.43
705,02-09-2025,43.22,0.00,43.22
706,30-08-2025,53.56,0.00,53.56
707,22-01-2025,53.39,14.34,67.73
708,22-01-2025,54.43,14.34,68.77
713,05-05-2025,2124.92,140.00,2264.92
714,05-05-2025,1765.24,484.62,2249.86
719,30-03-2025,2376.99,1134.40,3511.39
721,11-03-2025,1418.20,312.67,1730.87
722,24-08-2025,2486.93,378.10,2865.03
730,13-05-2025,1485.33,386.16,1871.48
735,05-05-2025,618.58,120.99,739.57
736,09-02-2026,729.71,75.85,805.56
737,25-06-2025,95.83,23.71,119.54
739,25-06-2025,138.63,46.12,184.75
742,25-06-2025,117.80,23.71,141.50
743,22-01-2025,73.77,0.00,73.77
788,24-11-2024,0.00,199.93,199.93
794,13-10-2025,397.14,3121.99,3519.12
802,21-05-2026,0.00,8399.09,8399.09
803,07-04-2026,0.00,166.46,166.46
806,08-02-2022,1244.03,42.02,1286.05
807,25-11-2015,518.68,1057.31,1575.99
808,12-01-2018,4123.05,643.73,4766.78
813,20-02-2023,122.22,49.30,171.52
817,23-04-2025,3268.21,1377.06,4645.27
820,15-05-2014,1076.26,660.10,1736.36
822,08-03-2023,2823.10,944.30,3767.40
823,29-03-2023,2147.83,802.48,2950.31
824,06-04-2026,1172.08,582.42,1754.50
825,09-03-2017,533.98,217.12,751.10
