scheme_id,district_id
1,20
4,21
5,8
5,26
5,28
8,19
9,17
9,22
10,28
11,9
12,22
18,18
18,27
18,28
19,25
20,10
20,30
21,17
21,20
21,22
21,29
21,24
22,17
22,30
27,8
27,13
27,14
27,15
27,16
30,1
32,10
32,18
32,22
32,15
32,16
33,12
34,8
35,18
36,29
37,12
38,29
39,22
40,22
41,22
42,22
43,29
44,9
45,8
46,9
47,11
48,13
49,19
50,11
51,23
52,17
54,3
55,19
56,12
56,16
57,27
58,10
59,1
60,19
61,16
62,28
63,16
64,11
64,18
65,9
65,26
65,30
66,24
67,9
68,16
69,22
70,19
71,22
72,12
73,30
74,19
75,8
76,26
77,18
78,27
79,9
80,9
81,22
82,18
83,11
84,1
85,14
86,11
87,2
88,22
89,9
90,11
90,16
90,28
91,22
92,28
93,27
94,16
95,1
96,9
96,20
96,19
96,28
97,11
97,22
97,26
98,20
99,18
100,11
101,27
102,9
103,8
106,21
107,11
108,13
109,11
110,19
111,8
112,12
113,3
114,21
115,12
116,23
117,18
118,28
119,14
120,5
121,2
122,6
123,17
124,17
125,26
126,23
127,17
128,3
129,17
130,12
131,30
132,19
133,22
134,24
135,7
136,1
137,11
138,1
139,4
140,3
141,5
143,30
144,28
145,28
146,28
147,27
148,21
149,9
150,21
151,17
152,11
153,10
154,22
155,23
156,22
157,26
158,22
159,18
160,19
161,7
162,29
163,8
164,28
165,28
166,17
167,27
168,5
169,1
170,4
171,9
172,26
173,1
173,2
173,4
174,9
175,18
176,19
177,25
178,30
179,22
180,5
181,30
182,26
183,3
184,27
185,18
186,14
187,1
188,11
189,10
190,10
191,10
192,30
193,1
194,2
195,22
196,19
197,1
198,22
200,15
202,4
203,10
204,30
205,12
206,9
207,8
208,26
209,19
210,20
211,23
212,9
213,7
214,25
215,28
216,30
217,9
218,21
219,24
220,22
221,1
222,9
223,16
224,27
225,25
228,5
229,1
230,9
231,24
232,20
233,17
234,17
235,25
236,18
237,30
238,30
239,26
240,13
241,27
243,1
244,2
245,1
246,19
247,30
248,1
249,19
250,19
251,2
252,1
253,22
254,11
255,25
256,7
257,2
258,30
259,11
260,16
261,20
265,15
266,24
267,21
268,13
269,29
270,21
271,11
272,18
273,24
274,21
275,11
276,9
277,29
278,18
279,2
280,5
282,2
283,2
284,9
285,8
286,16
287,13
288,25
289,27
290,30
291,29
292,26
293,19
294,18
295,17
296,22
297,23
298,20
299,21
300,10
301,9
302,12
303,11
304,8
305,19
306,17
307,22
308,24
309,2
310,1
311,3
312,5
313,10
314,14
315,11
316,9
317,28
318,27
319,30
320,29
321,19
322,18
323,22
324,2
325,1
326,4
327,5
328,7
329,6
330,10
331,22
332,8
333,28
334,17
335,20
336,10
337,9
338,12
339,14
340,8
341,16
342,13
343,25
344,27
345,28
346,26
347,29
348,19
349,18
350,17
351,22
352,23
353,24
354,21
355,20
356,7
357,2
358,4
359,1
360,3
361,5
362,6
363,10
364,9
365,12
366,14
367,11
368,8
369,16
370,13
371,25
372,27
373,30
374,26
375,29
376,19
377,18
378,17
379,22
380,23
381,24
382,21
383,20
384,7
385,2
386,1
387,3
388,5
389,6
390,28
391,8
391,9
391,17
391,18
391,30
391,19
392,1
393,8
394,9
394,10
394,11
394,12
394,13
394,14
394,15
395,15
395,16
396,8
397,16
398,13
399,16
400,29
401,21
402,8
403,12
404,1
405,30
406,19
409,24
410,3
411,19
412,22
413,22
414,22
415,22
416,18
417,5
418,22
419,18
420,28
421,30
422,22
423,23
424,5
425,16
426,24
427,30
428,19
431,1
432,22
433,22
434,22
435,22
436,22
437,27
438,27
439,25
440,26
441,27
442,8
443,3
444,3
445,3
446,3
447,3
448,30
449,19
450,27
451,27
452,11
453,12
454,19
455,8
456,30
457,29
458,24
459,8
460,29
461,25
462,24
463,8
464,8
465,21
466,21
467,13
468,13
469,13
470,8
471,17
472,27
473,27
474,25
475,12
476,13
477,17
478,3
479,22
480,26
481,29
482,27
483,27
484,24
488,17
489,12
489,26
489,14
489,15
490,5
491,23
492,10
493,20
494,12
495,21
496,2
497,5
499,3
500,2
501,9
502,14
503,11
504,25
505,26
506,18
507,24
508,2
509,30
510,22
511,19
512,22
513,29
514,10
515,11
516,9
517,30
518,29
519,19
520,18
521,17
522,22
523,23
524,24
525,20
526,21
527,3
528,2
529,1
530,4
531,5
532,7
533,6
534,11
535,16
536,8
537,14
538,27
539,18
540,9
541,28
542,25
543,17
544,12
545,17
546,19
547,24
548,23
549,21
550,26
551,20
552,29
553,30
554,22
555,5
556,5
557,7
558,7
559,4
560,4
561,25
562,27
563,8
564,12
565,30
566,26
567,29
568,18
569,19
570,23
571,8
572,26
573,18
574,22
575,24
576,10
577,6
578,30
579,19
580,22
581,18
582,28
583,12
584,10
585,9
586,12
587,15
588,14
589,11
590,8
591,16
592,13
593,25
594,27
595,30
596,26
597,29
598,19
599,18
600,17
601,22
602,23
603,24
604,21
605,20
606,2
607,4
608,3
609,1
610,7
611,5
612,6
613,18
614,9
615,10
616,9
617,12
618,15
619,14
620,11
621,8
622,16
623,13
624,25
625,27
626,28
627,30
628,26
629,29
630,19
631,18
632,17
633,22
634,23
635,24
636,21
637,20
638,2
639,4
640,3
641,1
642,7
643,5
644,6
645,16
646,15
647,15
648,17
649,18
650,28
651,28
652,28
653,28
654,28
655,9
655,23
655,18
655,22
655,29
656,1
657,10
658,18
660,22
661,19
662,30
663,25
664,10
665,1
667,21
669,1
673,10
674,8
674,17
674,1
675,29
675,26
676,29
677,23
677,18
677,30
677,14
678,27
679,1
681,25
682,22
683,18
684,8
685,9
686,5
687,27
688,6
689,12
690,18
691,30
692,18
693,11
694,11
695,20
696,26
697,1
698,10
699,10
699,12
700,23
701,29
702,8
704,18
705,22
706,22
707,18
708,29
709,22
710,30
711,1
712,30
713,1
714,24
715,19
716,18
716,19
717,19
718,1
719,1
720,8
721,1
722,1
723,30
724,18
725,18
726,1
727,1
728,1
729,9
730,12
731,27
732,22
733,1
734,30
735,11
736,11
737,9
738,11
739,9
740,10
741,10
742,9
743,18
744,1
745,22
746,1
747,27
748,1
749,11
750,8
750,13
750,27
750,16
751,27
752,28
753,13
755,1
755,16
758,1
759,20
760,19
761,26
762,26
763,3
765,1
767,1
768,1
768,16
769,13
769,16
771,10
771,1
771,19
773,7
774,10
775,19
777,11
777,12
777,14
777,15
778,26
779,9
780,25
781,1
782,18
783,29
784,10
785,23
786,1
787,1
788,1
793,1
795,1
798,30
799,8
799,13
799,16
800,23
801,1
804,1
805,25
806,22
807,18
808,19
809,10
810,11
810,22
810,30
810,19
813,30
814,22
815,23
817,1
818,1
819,1
820,1
821,20
822,8
822,18
822,24
823,23
823,12
823,28
824,21
825,1
826,18
827,16
828,25
829,25
830,27
831,11
831,14
831,15
832,1
833,1
834,19
835,20
836,26
837,22
838,22
839,29
840,29
841,29
842,9
843,9
844,9
845,28
846,21
847,21
848,21
849,9
850,17
850,25
850,29
850,26
850,16
851,9
852,1
853,16
854,24
855,29
856,29
857,8
858,26
859,26
860,20
861,20
862,18
863,27
864,27
865,27
867,1
868,11
869,18
870,18
871,18
872,29
873,28
874,1
875,1
876,16
877,16
878,13
879,10
880,10
881,22
882,22
883,24
884,9
885,29
886,30
887,30
888,30
889,30
890,26
891,11
892,11
893,18
894,15
895,27
896,27
897,27
898,25
899,28
900,1
901,1
902,1
903,1
904,13
905,17
906,11
907,18
908,18
909,27
910,27
911,27
912,27
913,25
914,28
915,28
916,8
917,27
918,29
919,27
920,21
921,27
922,22
923,22
924,11
925,1
926,18
927,1
928,1
929,30
930,1
931,11
932,22
933,1
934,1
935,1
936,21
937,1
938,20
938,21
940,15
941,11
942,13
943,1
944,1
946,30
948,20
950,1
951,8
952,8
954,4
955,17
956,11
957,30
958,6
959,2
960,2
961,4
962,7
963,4
964,26
965,30
966,18
966,22
967,10
968,21
969,19
970,1
971,1
972,1
973,5
975,1
976,1
977,30
978,10
978,1
978,22
978,19
979,1
980,10
981,1
982,1
983,10
984,19
985,18
986,22
987,25
988,1
989,8
990,29
991,17
992,24
993,20
994,1
995,1
996,1
997,1
998,24
999,10
1000,19
1001,1
1002,1
1002,5
1003,5
1004,9
1005,1
1006,5
1007,29
1008,19
1009,17
1010,19
1012,1
1013,5
1015,10
1015,1
1015,22
1015,30
1015,19
1016,1
1017,18
1018,1
1019,1
1020,3
1021,29
1022,22
1023,1
1024,1
1025,11
1026,19
1027,11
1028,11
1029,4
1030,10
1031,10
1032,19
1033,17
1034,19
1035,19
1036,19
1037,1
1038,9
1039,27
1040,28
1041,26
1042,24
1043,1
1045,18
1046,25
1047,28
1048,22
1049,22
1050,22
1051,8
1051,26
1051,30
1051,28
1052,26
1053,8
1053,26
1053,30
1054,24
1055,10
1055,13
1055,15
1056,14
1057,12
1057,26
1058,29
1059,14
1060,12
1061,18
1062,22
1063,22
1064,23
1065,30
1066,26
1067,9
1068,28
1069,28
1070,27
1071,8
1072,24
1073,11
1074,30
1075,24
1076,18
1077,9
1078,24
1079,22
1080,8
1081,8
1082,8
1083,8
1084,8
1084,15
1085,10
1086,10
1087,10
1088,10
1089,30
1090,25
1091,25
1092,25
1093,10
1094,9
1095,13
1096,13
1097,16
1098,16
1099,19
1100,21
1101,25
1102,13
1103,25
1104,18
1105,23
1106,23
1107,8
