scheme_id,funding_source_id,amount
5,7,2618.65
5,1,825.784
6,3,11926.500
6,1,2302.22
14,1,200.00
14,10,46.20
15,1,2855.80
15,10,670.00
16,1,3873.00
16,10,910.00
17,1,390.00
17,10,367.234
24,1,1320.00
24,10,271.023
25,1,2000.00
25,10,408.00
26,1,999.286
26,10,205.556
27,1,976.250
27,10,225.00
28,1,1020.00
28,10,221.34
29,1,350.00
29,10,73.70
659,1,300
1128,1,1998.658
1141,1,2763.060
1800,3,5891.664
1800,6,5891.644
1800,1,2945.822
2279,2,1334.04
2279,10,257.500
2282,1,7000.00
2282,2,54985
2283,1,1899.200
2283,2,45081.150
2284,1,6781.289
2284,2,5306.20
2285,1,5266.15
2285,2,1002.25
2287,2,5443.070
2287,1,6894.068
2387,1,2096.188
2393,1,1144.000
3265,8,56000
3265,1,75000
3265,2,50000
3266,4,112000
3266,1,11200
3305,2,5000
3305,1,5000
3390,1,12006.00
