id,uid,gen_sr_no,name,department_id,sub_sector_id,status,date_of_approval,target_completion_date,estimated_cost,financial_progress_pct,physical_progress_pct,current_fiscal_year,revision_flag
1,AGRAE-PP-16-0003,1,"Construction of Additional Building Components of ATI, Jacobabad",1,1,Approved,30.06.16,Jun-27,99.939,100.0,,2026-2027,U/R
2,AGRAE-PP-17-0002,2,Construction/ Rehabilitation of Agriculture Extension Offices in Sindh.,1,1,Approved,12.01.18,Jun-28,439.149,82.3,,2026-2027,
3,AGRAE-PP-21-0006,3,Implementation of Grow More Cotton and Pulses Campaign in Sindh.,1,1,Approved,01.11.21,Jun-27,75.000,100.0,,2026-2027,
4,AGRAE-PP-21-0007,4,Rehabilitation of Existing Buildings of Agriculture Extension in District Kashmore.,1,1,Approved,08.11.21,Jun-27,100.000,100.0,,2026-2027,
5,AGRWM-PP-21-0017,5,"Transforming the Indus Basin with Climate Resilient Agriculture and Water Management (Total: Rs. 3,444.43 M GCF's Share: Rs. 2618.65 M GoS' Share: Rs. 825.784 M)",1,1,Approved,29.10.21,Jun-27,825.784,100.0,,2026-2027,
6,AGRWM-FP-21-0021,6,"Sindh Water & Agriculture Transformation (SWAT) Project (Component III: Agriculture) (Total: Rs. 14,228.720 M World Bank's Share: Rs. 11,926.500 M GoS Share: Rs. 2,302.22 M)",1,1,Approved,06.12.22,Jun-28,2302.220,16.4,,2026-2027,
7,AGRAE-PP-22-0004,7,Integrated Pest Management of Cotton Crop in Sindh.,1,1,Approved,30.01.23,Jun-27,95.930,100.0,,2026-2027,
8,AGRAE-PP-23-0003,8,"Construction of Office of the Directorate of Agriculture Extension, Sukkur Division (Revised)",1,1,Approved,31.10.16,Jun-27,224.833,100.0,,2026-2027,
9,AGRAE-PP-25-0001,9,Providing Essential Laboratory Equipments and Analytical Material to Pesticide and Fertilizer Quality Control and Testing Laboratories.,1,1,Approved,24.12.25,Jun-28,200.000,25.0,,2026-2027,
10,AGRAK-PP-14-0016,10,Construction of Mirch Mandi at Kunri (C:195.878),1,2,Approved,29.09.07,Jun-27,195.878,100.0,,2026-2027,U/R
11,AGRAK-PP-23-0007,11,Establishment of Fruit and Vegetable Market at Mehar,1,2,Approved,10.02.25,Jun-28,276.932,54.0,,2026-2027,
12,AGRAK-PP-25-0001,12,Establishment of fruit and vegetable Mandi at Larkana (Total: Rs. 4504.83 C: Rs. 3831.42 Rev: Rs. 673.41),1,2,Approved,25.05.26,Jun-29,4504.830,27.1,,2026-2027,
13,AGRAM-PP-22-0009,13,Provision of Laser Leveling Equipment on Rental Basis to Farmers in Sindh,1,3,Approved,07.09.22,Jun-27,300.000,100.0,,2026-2027,
14,AGRAM-PP-23-0010,14,Provision of Subsidy on Modern Technology Equipment to Farmers in Sindh (Total: Rs. 246.20 M GoS' Share: Rs. 200.00 M Farmers' Share: Rs. 46.20 M),1,3,Approved,26.06.23,Jun-28,200.000,59.4,,2026-2027,
15,AGRAM-PP-23-0011,15,"Installation of Solarized Pulp Processing Units for Fruits and Vegetables in Sindh (Total: Rs. 3,525.80 M GoS' Share: Rs. 2,855.80 M Farmers' Share: Rs. 670.00 M)",1,3,Approved,26.06.23,Jun-28,2855.800,71.0,,2026-2027,
16,AGRAM-PP-23-0012,16,"Installation / Erection of Modern Cool Chain System on Subsidized Cost to Farmers for Export of Fruits & Vegetables (Total: Rs. 4,783.40 M GoS' Share: Rs. 3,873.00 M Farmers' Share: Rs. 910.00 M)",1,3,Approved,06.06.23,Jun-27,3873.000,100.0,,2026-2027,U/R
17,AGRAM-PP-25-0001,17,Provision of Agriculture Implements on cost sharing basis (Phase-II) (Total: Rs. 757.234 M GoS Share: Rs. 390.00 M Farmer's Share: Rs. 367.234 M) Cost Sharing: GoS 50% and Farmer 50%,1,3,Approved,,Jun-28,390.000,25.0,,2026-2027,
18,AGRAR-PP-22-0001,18,Bio Saline Agriculture Research & Development Phase-II,1,4,Approved,05.10.22,Jun-27,199.997,100.0,,2026-2027,
19,AGRAR-PP-22-0002,19,Upgradation of Horticulture Research Center at Mirpurkhas (Total: Rs. 355.511 C: Rs. 155.828 Rev: Rs. 199.683),1,4,Approved,05.01.23,Jun-27,355.511,100.0,,2026-2027,
20,AGRAR-PP-23-0002,20,Varietal Development of Wheat through Speed Breeding.,1,4,Approved,08.03.24,Jun-27,100.000,100.0,,2026-2027,
21,AGRAR-PP-25-0001,21,"Sindh Agriculture Biosaline, Rehabilitation & Resilient Initiative. (SABRRI)",1,4,Approved,08.10.25,Jun-27,100.000,100.0,,2026-2027,
22,AGRAR-PP-25-0002,22,Production of Early Category Seed of Climate- Resilient Crop in Sindh for Enhanced Food Security and Sustainability.,1,4,Approved,08.10.25,Jun-27,50.000,100.0,,2026-2027,
23,AGRWM-PP-15-0002,23,"Construction of Office Building for On-Farm Water Management staff (Badin, Mirpurkhas, Sanghar, S.B.A, Sukkur, Khairpur, Shikarpur, Dadu, Ghotki, Kashmore & Jamshoro).",1,5,Approved,11.12.15,Jun-27,96.389,100.0,,2026-2027,
